Festival_Year,Artist_Name
roskilde-festival-1971,surprise
roskilde-festival-1971,tom-bailey
roskilde-festival-1971,gasolin
roskilde-festival-1971,vannis-aften
roskilde-festival-1971,sunny-side-stompers
roskilde-festival-1971,dr-dopojam
roskilde-festival-1971,per-kofoed
roskilde-festival-1971,phillias-fogg
roskilde-festival-1971,midnight-sun
roskilde-festival-1971,strawbs
roskilde-festival-1971,papa-bues-jazzband
roskilde-festival-1971,povl-dissing
roskilde-festival-1971,stefan-grossman
roskilde-festival-1971,stefan-grossmand
roskilde-festival-1971,sebastian-band
roskilde-festival-1971,andrew-john
roskilde-festival-1971,c-sar
roskilde-festival-1971,burnin-red-ivanhoe
roskilde-festival-1971,alex-campbell
roskilde-festival-1971,spider-john-koerner
roskilde-festival-1971,lousiana-hot-seven
roskilde-festival-1971,fessors-big-city-band
roskilde-festival-1971,per-dich
roskilde-festival-1971,no-name-requested
roskilde-festival-1971,alrune-rod
roskilde-festival-1971,delta-blues-band
roskilde-festival-1971,day-of-phoenix
roskilde-festival-1971,mick-softley
roskilde-festival-1971,engine
roskilde-festival-1971,klosterband
roskilde-festival-1971,grease-band
roskilde-festival-1971,fujara
roskilde-festival-1971,skin-alley
roskilde-festival-1972,andr-williams
roskilde-festival-1972,the-kinks
roskilde-festival-1972,kinks
roskilde-festival-1972,contact
roskilde-festival-1972,smile
roskilde-festival-1972,gasolin
roskilde-festival-1972,vannis-aften
roskilde-festival-1972,gnags
roskilde-festival-1972,purple-door-gang
roskilde-festival-1972,arman-sumpe
roskilde-festival-1972,paddy-doyles
roskilde-festival-1972,dr-dopojam
roskilde-festival-1972,sha-na-na
roskilde-festival-1972,midnight-sun
roskilde-festival-1972,family
roskilde-festival-1972,book
roskilde-festival-1972,andrew-john
roskilde-festival-1972,alex-campbell
roskilde-festival-1972,david-blue
roskilde-festival-1972,starfuckers
roskilde-festival-1972,saft
roskilde-festival-1972,fessors-big-city-band
roskilde-festival-1972,alrune-rod
roskilde-festival-1972,amon-d-l
roskilde-festival-1972,delta-blues-band
roskilde-festival-1972,day-break
roskilde-festival-1972,horst
roskilde-festival-1972,hurdy-gurdy
roskilde-festival-1972,musikpatruljen
roskilde-festival-1972,polyfeen
roskilde-festival-1972,fujara
roskilde-festival-1972,bork
roskilde-festival-1972,tony-busch
roskilde-festival-1973,canned-heat
roskilde-festival-1973,gasolin
roskilde-festival-1973,negro-spiritual-elim-s-kor
roskilde-festival-1973,ewald-thomsen-spillem-nd
roskilde-festival-1973,fairport-convention
roskilde-festival-1973,kerne
roskilde-festival-1973,sh-kmannslaget
roskilde-festival-1973,dr-dopojam
roskilde-festival-1973,den-gamle-mand-og-havet
roskilde-festival-1973,sensory-system
roskilde-festival-1973,midnight-sun
roskilde-festival-1973,v8
roskilde-festival-1973,strawbs
roskilde-festival-1973,burnin-red-ivanhoe
roskilde-festival-1973,olsen
roskilde-festival-1973,culpeppers-orchard
roskilde-festival-1973,culpepper-s-orchard
roskilde-festival-1973,fessors-big-city-band
roskilde-festival-1973,alrune-rod
roskilde-festival-1973,kansas-city-stompers
roskilde-festival-1973,hair
roskilde-festival-1973,fumble
roskilde-festival-1973,fujara
roskilde-festival-1973,swing-j-rgens-rytmecirkus
roskilde-festival-1973,mo-i-rana
roskilde-festival-1973,r-de-mor
roskilde-festival-1974,status-quo
roskilde-festival-1974,gasolin
roskilde-festival-1974,camel
roskilde-festival-1974,jon-hisemans-temset
roskilde-festival-1974,bill-walach-jens
roskilde-festival-1974,chilensk-folketrup
roskilde-festival-1974,high-speed-grass
roskilde-festival-1974,blue-sun-m-lone-kellerman
roskilde-festival-1974,gnags
roskilde-festival-1974,pugh-rainrock
roskilde-festival-1974,j-rgen-skammeritz-erik-sch-tt
roskilde-festival-1974,dr-dopojam
roskilde-festival-1974,kardemomme-rock
roskilde-festival-1974,den-gamle-mand-og-havet
roskilde-festival-1974,morgengymnastik-v-palle-nielsen
roskilde-festival-1974,musikandagt-keep-singing-pastor-helga-m-ller-christiansen-gospel-m-rosita-thomas-etta-jones
roskilde-festival-1974,tassavalla-presidentii
roskilde-festival-1974,midnight-sun
roskilde-festival-1974,captain-beefheart
roskilde-festival-1974,prudence
roskilde-festival-1974,incredible-string-band
roskilde-festival-1974,incredible-stringband
roskilde-festival-1974,super-sister
roskilde-festival-1974,supersister
roskilde-festival-1974,andrew-john
roskilde-festival-1974,henry-cow
roskilde-festival-1974,tasavallan-presidentti
roskilde-festival-1974,secret-oyster
roskilde-festival-1974,culpeppers-orchard
roskilde-festival-1974,mermaid
roskilde-festival-1974,fessors-big-city-band
roskilde-festival-1974,alrune-rod
roskilde-festival-1974,stjysk-musikforsyning
roskilde-festival-1974,tyggegummibanden
roskilde-festival-1974,spillem-ndene
roskilde-festival-1974,papa-benny
roskilde-festival-1974,mo-i-rana
roskilde-festival-1974,fujara
roskilde-festival-1974,swing-j-rgens-rytmecirkus
roskilde-festival-1974,r-de-mor
roskilde-festival-1975,bning-ved-jan-monrad-mik-og-t-mrerclaus
roskilde-festival-1975,kraan
roskilde-festival-1975,procol-harum
roskilde-festival-1975,loudon-wainwright-iii
roskilde-festival-1975,djurslandspillem-ndene
roskilde-festival-1975,zeal-dada
roskilde-festival-1975,palles-nosser
roskilde-festival-1975,mickey-baker-nighthawk
roskilde-festival-1975,kirkelig-cabaret
